Texto,Categoria
TELECINE EL LARGO WINCH 2 Convertido en jefe de una importante empresa después de la muerte de su padre adoptivo  Largo Winch decide  para sorpresa de todo el mundo  venderla... EL LARGO WINCH 2 Título original: Largo Winch (Tome 2) (The Burma Conspiracy)  2011 / 119 min. / Francia / Thriller   Dirección: Jérôme Salle. Reparto: Tomer Sisley  Sharon Stone  Ulrich Tukur.  Convertido en jefe de una importante empresa después de la muerte de su padre adoptivo  Largo Winch decide  para sorpresa de todo el mundo  venderla  y usar los beneficios para crear una ambiciosa fundación humanitaria. Pero ese mismo día  él se verá acusado (por un misterioso testigo) de crímenes contra la humanidad. Para demostrar su inocencia  Largo tendrá que volver sobre los pasos de su vida pasada  en el corazón de la selva birmana...,filme
REVISTA BUENOS DIAS,noticias
EN LA MAÑANA SU CARTELERA Promoción de la programación,noticias
CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID-19 CONFERENCIA DE PRENSA SOBRE EL ENFRENTAMIENTO A LA COVID-19,noticias
TREN DE MARAVILLAS  Como entrenar a tu dragón 3  En esta nueva entrega Hipo y Desdentado descubrirán finalmente su verdadero destino: para uno gobernar Isla Mema junto a Astrid.   Como entrenar a tu dragón 3 Estados Unidos/2019/104min./ Animación /Reposición/Color/Doblada Director: Dean DeBlois Lo que comenzó como la inesperada amistad de un joven vikingo y un temible dragón se ha convertido en una épica trilogía que ha recorrido sus vidas. En esta nueva entrega Hipo y Desdentado descubrirán finalmente su verdadero destino: para uno gobernar Isla Mema junto a Astrid y para el otro ser el líder de su especie Estación Animados: Tainá y los guardianes del Amazonas. Cap. 22: ¿Quién grita más alto?  Águila harpía. Estación Sorpresa: Mi taller: Mosca.  Estación Había una vez: El burro perezoso.  Estación Cine: Cómo entrenar a tu dragón 3.  Estación Saber: El profesor en el origen del 0.  Estación Animados: Elpidio Valdés contra la policía de Nueva York.,infantiles
ESTE DÍA   1928: Nace Elena Burke. Cuba. 1879: Velada homenaje a Alfredo Torroella. Cuba. 1986: Asesinato de Olof Palme. Suecia.  1928: Nace Elena Burke. Cuba. Integró los cuartetos de Facundo Rivero  varios cuartetos e hizo dúos ocasionales.Se vinculó al creador Juan Formell de quien grabó varias composiciones.A partir de 1958 cantó en solitario acompañada de piano y guitarra destacándose en el feeling y el bolero.Para el cine trabajó en un cortometraje dedicado a OmaraPortuondo e interpretó los temas musicales de la película Una novia para David. 1879: Velada homenaje a Alfredo Torroella. Cuba. El poeta y dramaturgo  Alfredo Torroella emigró a México debido a sus simpatías con la causa independentista   allí estrechó vínculos con José Martí. En 1878 regresó a Cuba enfermo y falleció con 33 años de edad al año siguiente.En la velada ofrecida por el Liceo Artístico y Literario de Guanabacoa para homenajear a Torroella  un día como hoy del año 1879  José Martí ofreció un discurso.  1986: Asesinato de Olof Palme. Suecia. Su pensamiento anticolonialista  por el desarme y la paz  contra el fascismo y el apartheid   por la desnuclearización y la autodeterminación de los pueblos  fueron elementos más que suficientes para que el imperialismo yanqui lo declarara su enemigo  hasta el punto de resquebrajar las relaciones entre ambos gobiernos.,filme
NOTICIERO DEL MEDIODÍA   EMISIÓN DEL MEDIODÍA,noticias
EN LA TARDE SU CARTELERA  PROMOCIÓN DE LA PROGRAMACIÓN,noticias
ARTE 7  1-ANTES DEL ATARDECER EEUU. Drama 2-MOLINO ROJO Australia/ Drama ANTES DEL ATARDECER BEFORE SUNSET (Titulo Original) EEUU. / 2004 / 77 min / Drama romántico/ reposición /color / subtitulada al español Dir: Richard Linklater Int: Ethan Hawke  Julie Delpy  Vernon Dobtcheff Sinopsis: Jesse y Celine se conocieron en un tren y pasaron juntos una noche inolvidable paseando por Viena. Aunque prometieron encontrarse de nuevo seis meses más tarde  esa cita nunca llegó a producirse. Nueve años después  se vuelven a ver  pero esta vez en París. Jesse  que está de gira promocionando una novela  la ve en la librería donde está firmando ejemplares. Ella vive desde hace tiempo en París  él  en Nueva York. Jesse inmediatamente decide dejarlo todo para pasar el tiempo con Celine. Así pasan el día en los cafés  en los parques  recordando aquella tarde en la capital austriaca y hablando de sus vidas.   LUPIN – T1 - CAPITULO 4 LUPIN (Titulo Original) Francia/ 2021 / 47 Min. /Thriller / estreno / color / subtitulado al español Dir: George Kay  François Uzan  Louis Leterrier  Ludovic Bernard Int: Reparto Omar Sy  Ludivine Sagnier  Clotilde Hesme  Sinopsis: Assane Diop consigue que una periodista lo ayude a recuperar evidencia que incrimina a Hubert. El oficial Guédira ata cabos en torno al robo del Louvre.   MOLINO ROJO MOULIN ROUGE (Titulo Original) Australia / 2001 / 125 min / Drama romántico musical/ reposición /color / subtitulada al español Dir: Baz Luhrmann Int: Nicole Kidman  Ewan McGregor  John Leguizamo  Sinopsis: Ambientada en el París bohemio de 1900. Satine  la estrella más rutilante del Moulin Rouge  encandila a toda la ciudad con sus bailes llenos de sensualidad y su enorme belleza. Atrapada entre el amor de dos hombres  un joven escritor y un duque  lucha por hacer realidad su sueño de convertirse en actriz. Pero  en un mundo en el que todo vale  excepto enamorarse  nada es fácil.,filme
A OTRO CON ESE CUENTO,humor
PALMAS Y CAÑAS    Tema: Recordar el aniversario 44 del fallecimiento de José Ramón Sánchez  “El madrugador”. Invitados:Quinteto Cuerdas del Monte  Albertico Rojas  Ismary Álvarez  Gina García  Miriela Cañizares Tema: Recordar el aniversario 44 del fallecimiento de José Ramón Sánchez  “El madrugador”. (27 de febrero de 1977) Sinopsis: Programa de la música campesina Invitados: Quinteto Cuerdas del Monte  Albertico Rojas  Ismary Álvarez  Gina García  Miriela Cañizares  poetas: Albertico Rojas y Aramís Padilla  Mariachi Atenas. Secciones: Informaciones de la ANAP. Recorrido de la bandera 60 Aniversario.,filme
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA  Promoción de la programación,noticias
GALA DE PREMIACIONES DE LUCAS Invitados -Nero -Luis Franco “Sueños” -Luna Manzanares “Ay amor” -Malaka “Calentón” -Lady Laura “No me controlas”  Los Locutores presentan: -Mejor video música para niños: Dúo Karma: “Abre la ventana” (Director Fito Hernández y Xotchitl Galán)  -Mejor video Animación: Mauricio Llopiz  Camilo Suárez  Adria Stax y Lisett Ledon por: “El son de Eliodoro” de La Trovuntivitis. -Mejor Making Of:  “Cámara Lenta” de Buena Fe (Director Fernando Fraguela) Premian Edesio Alejandro y Cristian Alejandro: -Mejor video Pop: Luis Franco: “Sueños” (Director Joseph Ros) -Mejor video Pop House:  Dj Tellus “El staker”   (Directora Claudia Alonso) -Mejor video House electrónico: Dj Tellus  “El staker”   (Directora Claudia Alonso) Premian Enrique Bueno e Hilario Peña (Lucha contra Bandidos): -Mejor video Vestuario: Samantha Chijona por “Reflexión” de X Alfonso -Mejor Fotografía:  Gabriel Guerra Bianchini por “Noches sin fin y mar” de Silvio Rodríguez -Mejor Efectos Visuales:  Carlos Álvarez  Raudel Hoyo y Wilfredo Gatell por “Technicolor” de Sweet Lizzy Project  Premian Adrián Berazaín y Mauricio Figueiral: -Mejor video Trova: La Trovuntivitis   “ El son de Eliodoro”   Director Joseph Ros -Mejor Video Novel: Carlo Fidel  “Frente al espejo” Director Leomar González   -Mejor Video Música Rock:  Sweet Lizzy Project “Travel to the Moon” Director Alejandro Menéndez Premian Wil Campa y El niño y la verdad: -Mejor video Música Popular Bailable: Alain Pérez “Para eso estamos”   Director Alejandro Pérez  -Mejor video Música Tradicional y Folklórica: Orquesta Failde   “Tumbao”   Director Alejandro Armada -Mejor Producción: Ernesto Irbazal  y Laura Herrera  por “El punto cubano” de David Blanco Invitados Vanesa (A todo Pop) presenta música: -Nero -Luis Franco “Sueños” -Luna Manzanares “Ay amor” Spanglish DJ (Talla Joven) presenta música: -Malaka “Calentón” -Lady Laura “No me controlas” -Omar Vali “Estamos en guerra” Liliana Sosa y Roberto Espinosa (novela) presenta música: -Diván “Tutorial” -Qva Libre “¿Qué te parece?” “¿Qué estás formando tú?” Leoni Torres “Deja la tristeza” Cierra música de: -Maykel Blanco  -Yoruba Andabo.,novela
TELEAVANCES PROMOCIÓN DE LA PROGRAMACIÓN,noticias
CINE ONLINE  La bella del Alhambra  La Habana 1920.Rachel es una joven muchacha que trabaja como corista en una desangelada carpa.Sólo se le ofrece la oportunidad de ser prostituta pero ella sueña con ser artista. La bella del Alhambra  Cuba-España/1989/108 minutos/ Drama. Musical | Años 20 Dirección Enrique Pineda Barnett Reparto Beatriz Valdés  César Évora  Omar Valdés  Carlos Cruz  Isabel Moreno  Jorge Martínez  Verónica Lynn  Miguel Gutiérrez Sinopsis La Habana  1920. Rachel es una joven muchacha que trabaja como corista en una desangelada carpa. Sólo se le ofrece la oportunidad de ser prostituta  pero ella sueña con convertirse en una verdadera artista y en ser amada por un sólo hombre. El teatro Alhambra  un lugar sólo para hombres  se convertirá en su objetivo.,filme
UPT Inglés,educativo
UPT Ajedrez,educativo
Anímate de domingo Grandes Héroes.Sinopsis: En la metrópolis de San Fransokyo  vive Hiro Hamada  quien aprende a sacar provecho de su capacidad gracias a su brillante hermano Tadashi y sus también brillantes amigos. Cua,filme
Serie El hombre invisible Capítulo 20.,serie
Vivir 120 Desnudos en la red  Sinopsis: Privacidad en las redes sociales y precauciones a tomar Inv: Dr. Andrés Montollo/ Director Escuela Politécnica Superior de la Universidad de Alicante// Dr. Rafael Muñoz V,filme
La dosis exacta Glimepirida  SINOPSIS: Un paciente que está tomando Glimepirida y tiene acidez le aconseja que tome Ranitidina. A la semana comienza a sufrir mareos  sudoraciones y decaimiento  cuando mide su glicemi,filme
Diccionario de la música Diccionario de la música,musical
Vida y Naturaleza Tratamientos para el hígado graso  SINOPSIS: El hígado graso es una enfermedad que afecta a muchas personas  pero la MNT ofrece variantes de tratamiento que aseguran una mejor calidad de vida.,filme
De la radio tu música Eternamente  Elena.   Sinopsis: Por el 91 cumpleaños de Elena Burke  ella y jóvenes cantantes le rinden tributo.,filme
Contar la Historia Einstein Sinopsis: Programa que presenta materiales relacionados con hechos y figuras históricas de la humanidad.,historia
Maneras de Hacer Programa que muestra las realizaciones de diferentes Telecentros del país.,noticias
Sin etiquetas Sinopsis: Programa musical que presenta lo más valiosos de la música nacional e internacional  enriquecido con comentarios acerca de los artistas invitados y detalles de la actualidad de sus carreras,filme
Rodando el musical. Los Bee Gees (2 da parte) Sinopsis: La historia de una de las agrupaciones musicales ¨The Bee Gees¨ más populares de la historia  llega en 2010 con el filme ¨In our own time¨ (En nu,historia
Serie La Epopeya de Angola (Capítulo 16) Sinopsis: La participación de decenas de miles de cubanos en la defensa de la soberanía del país africano y el rechazo victorioso de la agresión de los racistas suda,filme
Flash Musical LA RONCA DE ORO 2  Sinopsis: Una mirada a una de las más importantes cantantes de ranchera que ha dado Colombia.  (Imperio Cap. 46),filme
NTV,noticias
Serie Extranjera Desobediencia (Capítulo 2) Sinopsis: Inspirada en las memorias de Deborah Feldman  la ficción cuenta de Esty  una joven judía que escapa de su comunidad en N.York para recomenzar en Alemania una vida,filme
Vivir del cuento: RTX Crónicas de Envio  En cada emisión Pánfilo y sus vecinos tendrán que resolver  a manera de humor situacional  sucesos y conflictos de la vida cotidiana actual.,humor
Lo Bueno No Pasa:  Polo Montañez   Espacio para rescatar el valioso patrimonio musical de nuestra isla  a través de materiales de archivo,musical
CUBANOTICIAS FIN DE SEMANA 2 RTX CUBANOTICIAS FIN DE SEMANA 2 RTX,noticias
Vivir del Cuento: RTX Crónicas de Envio  En cada emisión Pánfilo y sus vecinos tendrán que resolver  a manera de humor situacional  sucesos y conflictos de la vida cotidiana actual.,humor
Documental del Domingo: Anacaona  70  años después  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
23 Y M  23 Y M,musical
Fuera de Rosca: RTX Programa # 493 Programa dedicado a entrevistar a destacados intérpretes de la música cubana y además se presenta lo mejor de sus más recientes producciones.,musical
Vivir del cuento: RTX Crónicas de Envio  En cada emisión Pánfilo y sus vecinos tendrán que resolver  a manera de humor situacional  sucesos y conflictos de la vida cotidiana actual.,humor
Lo Bueno no pasa:  Polo Montañez   Espacio para rescatar el valioso patrimonio musical de nuestra isla  a través de materiales de archivo,musical
Encadenamiento Revista Buenos dias Encadenamiento Revista Buenos dias,noticias
CONFERENCIA DE PRENSA CONFERENCIA DE PRENSA,noticias
23 Y M 23 Y M,musical
Vivir del Cuento: RTX Crónicas de Envio  En cada emisión Pánfilo y sus vecinos tendrán que resolver  a manera de humor situacional  sucesos y conflictos de la vida cotidiana actual.,humor
Lo Bueno No Pasa:  Polo Montañez   Espacio para rescatar el valioso patrimonio musical de nuestra isla  a través de materiales de archivo,musical
CUBANOTICIAS FIN DE SEMANA 1 CUBANOTICIAS FIN DE SEMANA 1,noticias
23 y M 23 y M,musical
Documental del Domingo: Anacaona  70  años después  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
Contra el olvido: Programa :Somos Cuba dedicado al amor.Humor:Fragmento de una zarzuela en la que trabaja Rosita Fornes y Armando Bianchi.Musical:Primera selección del concierto de Farah María  el recuerdo de aquel largo viaje. Rescatar la memoria de la televisión a través de la reposición de espacios que se hallan destacado por alguna razón.,musical
CUBANOTICIAS FIN DE SEMANA 2 Dedicado a informar sobre todo el acontecer noticioso de la Isla. De lunes a viernes usted se puede informar a través de reportajes  crónicas y entrevistas  sobre la realidad de la Cuba de hoy.,noticias
Lo Bueno no pasa:  Polo Montañez   Espacio para rescatar el valioso patrimonio musical de nuestra isla  a través de materiales de archivo,musical
Fuera de Rosca: RTX Programa # 493 Programa dedicado a entrevistar a destacados intérpretes de la música cubana y además se presenta lo mejor de sus más recientes producciones.,musical
Contra el Olvido: Programa :Somos Cuba dedicado al amor.Humor:Fragmento de una zarzuela en la que trabaja Rosita Fornes y Armando Bianchi.Musical:Primera selección del concierto de Farah María  el recuerdo de aquel largo viaje. Rescatar la memoria de la televisión a través de la reposición de espacios que se hallan destacado por alguna razón.,musical
Documental del Domingo: Anacaona  70  años después  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
CUBANOTICIAS FIN DE SEMANA 2 RTX CUBANOTICIAS FIN DE SEMANA 2 RTX,noticias
23 y M,musical
"TU SI SUENAS Tema: El Tren de la Fantasía.Teatro Karl Marx  Invitados:  ""Tía Rosa""(Rosa Campo)  Lidis Lamorú y el coro infantil “Diminuto”.  Tema: El Tren de la Fantasía.  Teatro Karl Marx  Invitados:  ""Tía Rosa""(Rosa Campo)  Lidis Lamorú y el coro infantil “Diminuto”.",infantiles
SERIE GAMBITO DE DAMA  CAP 4 final GAMBITO DE DAMA  CAP 4 final,serie
SERIE PERDIDOS EN EL ESPACIO CAP 7   PERDIDOS EN EL ESPACIO CAP 7,serie
SERIE DETENTE E INCENDIATE CAP 7 TEMP 1  DETENTE E INCENDIATE CAP 7 TEMP 1,serie
SERIE  EMILY EN PARIS Temporada 1 cap 9  EMILY EN PARIS Temporada 1 cap 9,serie
CINEFLASH programa 320  programa 320,filme
A OTRO CON ESE CUENTO,humor
PALMAS Y CAÑAS    Tema: Recordar el aniversario 44 del fallecimiento de José Ramón Sánchez  “El madrugador”. Invitados:Quinteto Cuerdas del Monte  Albertico Rojas  Ismary Álvarez  Gina García  Miriela Cañizares Tema: Recordar el aniversario 44 del fallecimiento de José Ramón Sánchez  “El madrugador”. (27 de febrero de 1977) Sinopsis: Programa de la música campesina Invitados: Quinteto Cuerdas del Monte  Albertico Rojas  Ismary Álvarez  Gina García  Miriela Cañizares  poetas: Albertico Rojas y Aramís Padilla  Mariachi Atenas. Secciones: Informaciones de la ANAP. Recorrido de la bandera 60 Aniversario.,filme
NTV EMISIÓN ESTELAR,noticias
EN LA NOCHE SU CARTELERA  Promoción de la programación,noticias
GALA DE PREMIACIONES DE LUCAS Invitados -Nero -Luis Franco “Sueños” -Luna Manzanares “Ay amor” -Malaka “Calentón” -Lady Laura “No me controlas”  Los Locutores presentan: -Mejor video música para niños: Dúo Karma: “Abre la ventana” (Director Fito Hernández y Xotchitl Galán)  -Mejor video Animación: Mauricio Llopiz  Camilo Suárez  Adria Stax y Lisett Ledon por: “El son de Eliodoro” de La Trovuntivitis. -Mejor Making Of:  “Cámara Lenta” de Buena Fe (Director Fernando Fraguela) Premian Edesio Alejandro y Cristian Alejandro: -Mejor video Pop: Luis Franco: “Sueños” (Director Joseph Ros) -Mejor video Pop House:  Dj Tellus “El staker”   (Directora Claudia Alonso) -Mejor video House electrónico: Dj Tellus  “El staker”   (Directora Claudia Alonso) Premian Enrique Bueno e Hilario Peña (Lucha contra Bandidos): -Mejor video Vestuario: Samantha Chijona por “Reflexión” de X Alfonso -Mejor Fotografía:  Gabriel Guerra Bianchini por “Noches sin fin y mar” de Silvio Rodríguez -Mejor Efectos Visuales:  Carlos Álvarez  Raudel Hoyo y Wilfredo Gatell por “Technicolor” de Sweet Lizzy Project  Premian Adrián Berazaín y Mauricio Figueiral: -Mejor video Trova: La Trovuntivitis   “ El son de Eliodoro”   Director Joseph Ros -Mejor Video Novel: Carlo Fidel  “Frente al espejo” Director Leomar González   -Mejor Video Música Rock:  Sweet Lizzy Project “Travel to the Moon” Director Alejandro Menéndez Premian Wil Campa y El niño y la verdad: -Mejor video Música Popular Bailable: Alain Pérez “Para eso estamos”   Director Alejandro Pérez  -Mejor video Música Tradicional y Folklórica: Orquesta Failde   “Tumbao”   Director Alejandro Armada -Mejor Producción: Ernesto Irbazal  y Laura Herrera  por “El punto cubano” de David Blanco Invitados Vanesa (A todo Pop) presenta música: -Nero -Luis Franco “Sueños” -Luna Manzanares “Ay amor” Spanglish DJ (Talla Joven) presenta música: -Malaka “Calentón” -Lady Laura “No me controlas” -Omar Vali “Estamos en guerra” Liliana Sosa y Roberto Espinosa (novela) presenta música: -Diván “Tutorial” -Qva Libre “¿Qué te parece?” “¿Qué estás formando tú?” Leoni Torres “Deja la tristeza” Cierra música de: -Maykel Blanco  -Yoruba Andabo.,novela
SERIE EXTRANJERA  Versalles CAP. 7 Versalles CAP. 7 primera temporada,serie
NTV DOMINICAL Informaciones nacionales e internacionales. Análisis y comentarios.,noticias
REVISTA INFORMATIVA EN TIEMPO REAL. Revista informativa con segmentos temáticos y  actualización nacional e internacional.,noticias
DOCUMENTAL. 24 DE FEBRERO. Análisis de la actualidad económica cubana.,documental
NOTICIERO ICAIC. Noticiero ICAIC Latinoamericano.,noticias
SERIE DOCUMENTAL. La Nueva Ruta de la Seda 10 Programa de CGTN que aborda temas sociopolítcos y económicos vinculados con China.,documental
MESA REDONDA  Espacio de información y debate. Retransmisión de las emisiones de más impacto en la semana.,noticias
NTV EMISION ESTELAR  las mas importantes  informaciones nacionales e internacionales.,noticias
ESTACIÓN CARIBE Información sociocultural de la región del Caribe acompañada de la música más genuina.,musical
CONFERENCIA DE PRENSA MINSAP Información oficial sobre la Covid19 en Cuba.,noticias
CARIBE NOTICIAS. Resumen informativo de la jornada.,noticias
Cartelera Programación del día,noticias
Efemérides Hoy en la historia Efemérides municipales  nacionales e internacionales,historia
Espejo Invisible Filme: Bajo cero Sinopsis: En una fría noche cerrada de invierno  en mitad de una carretera despoblada  un furgón policial blindado es asaltado durante un traslado de presos,filme
Boletín Informativo Acontecer municipal,noticias
 INFORME COVID-19 Parte actualizado sobre la COVID-19 EN EL TERRITORIO.,noticias
 VISIÓN 27 Revista Informativa Variada,noticias
 Portada Tele Pinar Capsula informativa con adelantos de la emisión de Tele Noticias en la tarde.,noticias
 PASADO PRESENTE  Programa Histórico Efemérides,historia
 Tele Noticias Noticiero,noticias
 Documental: La pupila insomne  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
 Cubanoticias 1 RTX Cubanoticias 1 RTX,noticias
 Orígenes: Hotel Ambos Mundos      Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
 Verde Habana: Cultivo de Orquídeas 2 Experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre  así como iniciativas domésticas en el cultivo de diversas especies.,educativo
 Documental: Vilma  maravilla de mujer               Celia  leyenda y persencia -Enamorada de la Danza     Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,documental
 A todo Jazz: Janio Abreu y Aire de Conciertos Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género,musical
 Documental: La pupila insomne Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país.,documental
 ENCADENAMIENTO REVISTA BUENOS DÍAS ENCADENAMIENTO REVISTA BUENOS DÍAS,noticias
 A todo Jazz: Janio Abreu y Aire de Conciertos  Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país,documental
 Verde Habana: Cultivo de Orquídeas  Programa sobre experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre,educativo
 Hábitat: Mil Cumbres 1 Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
 CONFERENCIA DE PRENSA  CONFERENCIA DE PRENSA,noticias
 NOTICIAS.CU EN VIVO NOTICIAS.CU EN VIVO,noticias
 ZONA DEPORTIVA EN VIVO ZONA DEPORTIVA EN VIVO,deporte
 Documental: Vilma  maravilla de mujer               Celia  leyenda y persencia -Enamorada de la Danza            Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,documental
 Hábitat: Mil cumbres 1 Espacio que muestra lo mejor de este género en la Isla. Producciones de jóvenes y experimentados documentalistas  realizadas por las diferentes casas productores de audiovisuales del país.,documental
 A todo Jazz: Janio Abreu y Aire de Conciertos Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género,musical
 Documental: La pupila insomne Espacio dedicado a difundir disímiles temas medioambientales inscritos en los  parajes de la geografía cubana.,documental
 CUBANOTICIAS 2 EN VIVO CUBANOTICIAS 2 EN VIVO,noticias
 Documental: Vilma  maravilla de mujer               Celia  leyenda y persencia-Enamorada de la Danza            Música  humor  imitaciones y más  en un programa de televisión nacido en Canal Habana  que ahora llega en una nueva temporada donde se reúnen numerosos humoristas cubanos y figuras invitadas,documental
 Verde Habana: Cultivo de Orquídeas 2 Sesiones con músicos cubanos en diferentes lugares de La Habana  bajo la conducción del cantautor Mauricio Figueiral.,educativo
 CONFERENCIA DE PRENSA RTX CONFERENCIA DE PRENSA RTX,noticias
 CUBANOTICIAS 1 EN VIVO CUBANOTICIAS 1 EN VIVO,noticias
 Noticiero Cultural EN VIVO Noticiero Cultural EN VIVO,noticias
 Mesa Redonda EN VIVO Mesa Redonda EN VIVO,noticias
 Orígenes: Hotel Ambos Mundos     Programa que aborda la historia de lugares  ciencias y otros temas que distinguen al Archipiélago cubano,historia
 Verde Habana: Cultivo de Orquídeas 2  Programa sobre experiencias técnico prácticas de la agricultura urbana en La Habana orientadas hacia el cuidado del medio ambiente y el hombre,educativo
 A todo jazz: Janio Abreu y Aire de Conciertos Espacio para promover todo el quehacer jazzístico que se cultiva en Cuba y las producciones discográficas asociadas al género  a partir del prestigio alcanzado en el mundo por nuestros músicos,musical
 CUBANOTICIAS 1 RTX CUBANOTICIAS 1 RTX,noticias
 Mesa Redonda RTX Mesa Redonda RTX,noticias
 HIMNO APERTURA Inicio de Transmisiones,historia
 Santiago Santiaguerías Programa Musical con el Tema: Celia de la Serna y Pérez Serantes  madre del Guerrillero Heróico.,musical
 Revista Informativa Programa Informativo con el Tema: Actualización Covid-19 y Tarea Ordenamiento. Dedicada al Día Internacional de la Mujer. Se resaltará el desempeño de las féminas directivas en organizaciones como la Asociación Nacional de Ciegos y Débiles Visuales (ANCI),noticias
 Telenoticias Noticiero Resumen que cierra las Transmisiones.,noticias
 HIMNO APERTURA Himno apertura,historia
 TV Avileña hoy Cartelera,noticias
 Equilibrio Para acercarlo a temas interesantes de la psicología  secciones de música  cocina  promociones culturales y otros temas de interés...,musical
 Musical Variado Musical variado con lo más representativo de la música cubana,musical
 Reinicio de las transmisiones / TV Avileña hoy Reinicio de las transmisiones / Cartelera,noticias
 Lo que va de ayer a hoy Lo que va de ayer a hoy  para conocer la historia de «La madre de agua de la Turbina».,historia
 Portal noticias Noticiero con la actualidad informativa de la provincia,noticias
 BOLETÍN INFORMATIVO Espacio informativo que ofrece a los granmenses el adelanto de las principales noticias del día.,noticias
 LA NUEVA FUERZA Artistas del territorio comparten su talento para llegar a los hogares aportando una nueva fuerza musical.,musical
 NOTICIERO EN DIRECTO En directo llegan las informaciones noticiosas más relevantes de Granma.,noticias
 ESTOCADA AL TIEMPO Programa de efemérides,historia
 HIMNO APERTURA INICIO DE LAS TRANSMISIONES,historia
 ESTOCADA AL TIEMPO Programa de efemérides,historia
 PROGRAMACIÓN EDUCATIVA ARTISTICA  Programa en saludo al dia internacional de la mujer Programa en saludo al dia internacional de la mujer,educativo
 PROGRAMACIÓN EDUCATIVA ARTISTICA  Solfeo 8vo grado nivel elemental    Solfeo 8vo grado nivel elemental,educativo
 PROGRAMACIÓN ARTISTICA EDUCATIVA  Rutina de ejercicios Rutina de ejercicios,educativo
 PROGRAMACIÓN EDUCATIVA ARTISTICA  Historia del teatro para titeres Historia del teatro para titeres,educativo
 PROGRAMACIÓN EDUCATIVA ARTISTICA  Grabado nivel medio Grabado nivel medio,educativo
 SÍGUENOS programa de ejercicios,deporte
 DEPORCLIP  rtx,deporte
 MERIDIANO DEPORTIVO,deporte
 SERIE NACIONAL DE BÉISBOL  MATANZAS VS LAS TUNAS DESDE EL ESTADIO JOSE A HUELGA   JUEGO 2 MATANZAS VS LAS TUNAS DESDE EL ESTADIO JOSE A HUELGA   JUEGO2,serie
 DOCUMENTAL YUNIDIS  YUNIDIS,documental
 NND  NOTICIERO,noticias
 ESTOCADA AL TIEMPO,historia
 GLORIAS DEPORTIVAS ELPIDIO MANCEBO  BÉISBOL ELPIDIO MANCEBO  BÉISBOL,deporte
 SÍGUENOS programa de ejercicios,deporte
 AL DURO Y SIN GUANTE SERIE NACIONAL DE BÉISBOL SERIE NACIONAL DE BÉISBOL,serie
 SERIE NACIONAL DE BÉISBOL  MATANZAS VS LAS TUNAS DESDE EL ESTADIO JOSE A HUELGA   JUEGO2  MATANZAS VS LAS TUNAS DESDE EL ESTADIO JOSE A HUELGA   JUEGO 2,serie
 MERIDIANO DEPORTIVO RETRANSMSION RTX,deporte
 PROGRAMACION DE TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
 PROGRAMACIÓN DE TELESUR  Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
 PROGRAMACIÓN DE TELESUR Noticias  análisis internacional  una visión del panorama político desde la perspectiva del Sur económico y de los pueblos  junto a más temas diversos.,noticias
 CARIBE NOTICIAS EMISIÓN DE CIERRE.,noticias
 EN LA MADRUGADA SU CARTELERA Promoción de la programación,noticias
